Swedish,English
och,and
i,in
att,to
det,the
som,as
en,one
på,on
är,is
för,for
av,of
med,with
den,the
till,to
inte,not
ha,have
de,the
han,he
om,if
ett,one
jag,I
vara,be
men,but
sig,one
så,so
vi,we
hon,she
från,from
man,MAN
kunna,be able to
när,when
nu,now
ska,will
år,year
säga,say
där,where
också,also
eller,or
sin,its
under,during
efter,after
ut,out
ska,will
vid,at
mot,against
då,then
här,here
bara,only
mycket,very
upp,up
över,over
alla,all
komma,come
vad,What
än,than
andra,Other
finnas,be
få,get
in,in
sedan,since
du,you
ha,have
hur,how
bli,Become
två,two
vilja,will
hans,his
många,many
måste,must
något,something
mer,more
detta,this
utan,without
gå,go
allt,all
bliva,become
mig,me
han,he
de,the
skola,school
ny,new
någon,any
mellan,between
även,also
först,first
krona,Crown
sin,its
genom,by
ta,take
komma,come
dag,day
fram,forward
Sverige,Sweden
kunna,be able to
stor,Big
hel,whole
svenska,Swedish
procent,percent
ju,right
göra,do
ingen,No
sa,said
bra,Good
tre,three
gör,make
kanske,perhaps
oss,U.S
själv,self
bland,among
annan,Other
gå,go
redan,already
se,see
inom,within
aldrig,Never
del,part
väl,well
äta,eat
hon,she
kunna,be able to
helt,completely
samma,same
denna,this one
enligt,according to
olika,various
stor,Big
tid,time
veta,Know
lite,a little
gång,walk
både,both
sätt,way
ser,looks
miljon,million
därför,because
tidig,early
dock,though
tro,believe
ur,from
min,my
denna,this one
just,just
ner,down
flera,several
varje,each
hos,at
göra,do
tog,took
gäller,applies
barn,children
tar,takes
komma,come
igen,again
står,stands
såg,SAW
lika,equal
mest,most
sade,said
ändå,still
ännu,yet
ja,yes
tycker,think
tillbaka,back
bättre,better
innan,before
nog,probably
ligger,is located
deras,their
rätt,Right
ni,you
människor,people
alltid,always
fall,case
ge,give
bli,Become
ge,give
fyra,four
ny,new
gammal,old
annan,Other
eftersom,since
trots,despite
kvar,left
vilket,which
säga,say
tid,time
göra,do
vår,our
vilja,will
regering,government
samtidigt,at the same time
lång,long
dessutom,in addition
bort,away
nej,No
nästan,almost
per,per
liten,small
först,first
inget,nothing
finnas,be
inför,infront of
pengar,money
fem,five
runt,around
själv,self
länge,long
senare,later
stället,the place
fast,fixed
mitt,my
ofta,Often
senast,last
medan,while
exempel,example
före,before
börja,start
varför,why
enda,only
svår,difficult
egen,own
nästa,Next
visa,show
tillsammans,together
liv,life
sist,last
hem,Home
stor,Big
stå,stand
år,year
alltså,in other words
bakom,behind
långt,far
haft,had
fler,more
fortfarande,still
plats,place
hand,hand
mena,mean
båda,both
väg,way
USA,USA
utanför,outside
förra,last
inga,no
framför,in front
behöva,need
det,the
dom,judgment
nytt,new
bör,should
våra,ours
dig,you
folk,people
hålla,keep
par,couple
tio,ten
handla,act
problem,problem
heller,either
fråga,question
gått,gone
vidare,further
borde,should
början,beginning
låg,low
minst,least
bästa,top
anser,consider
liten,small
Anders,Anders
sett,seen
egna,own
satt,sat
svensk,Swedish
berätta,tell
kvinna,woman
bild,picture
klar,clear
känna,feel
samt,and
lätt,easy
ytterligare,further
världen,the world
särskild,special
mål,goal
kl.,at
sida,page
komma,come
fråga,question
riktig,TRUE
Lars,Lars
innebär,implies
flesta,most
hålla,keep
stor,Big
egentligen,actually
små,small
Johansson,Johansson
landet,the country
ibland,sometimes
sen,late
sex,six
arbete,work
gång,walk
emot,against
slut,final
kring,around
ge,give
hjälp,help
ihop,Together
år,year
omkring,about
varandra,each other
företag,business
hemma,home
nära,close
ens,even
däremot,However
sagt,said
snart,soon
Andersson,Andersson
börja,start
helst,preferably
vilka,which
polis,police
Peter,Peter
därmed,thus
vem,who
jobb,Job
direkt,Immediately
liten,small
cirka,about
visst,Certainly
ned,down
liv,life
liksom,as well as
ta,take
miljard,billion
skola,school
viss,certain
fel,wrong
politisk,political
sådan,such
ganska,quite
sitta,sit
vilken,which
dag,day
beslut,decision
känna,feel
ingenting,nothing
lång,long
ute,out
förslag,suggestions
spelar,plays
steg,step
höll,held
ord,words
verklig,real
tänka,think
möjlig,Possible
säker,sure
väg,way
tv,TV
meter,meter
faktiskt,actually
gott,good
snabb,fast
dag,day
alldeles,Right
all,all
Göran,Goran
ordförande,President
precis,just
mej,me
namn,name
hus,House
ung,young
land,country
vår,our
tycka,think
skriva,write
tala,speak
sådan,such
Sverige,Sweden
barn,children
veta,Know
tredje,third
mamma,mother
Jan,January
klar,clear
dryg,roughly
fråga,question
hoppas,hope
tala,speak
form,form
vecka,week
naturligtvis,of course
kort,short
amerikansk,American
stöd,support
ekonomisk,economic
the,the
hög,high
delar,parts
man,MAN
god,good
gärna,gladly
mina,mine
Stockholm,Stockholm
spela,play
Europa,Europe
slut,final
hög,high
visa,show
tänka,think
egen,own
tänka,think
plötslig,sudden
grund,basic
viktig,important
visa,show
alls,at all
pappa,dad
ifrån,from
stå,stand
år,year
land,country
annars,otherwise
vinna,win
hittills,to date
hända,happen
verka,act
kr.,NOK
lång,long
bo,stay
endast,only
krav,requirement
Persson,Person
veta,Know
dit,there
förstås,of course
försöka,try
mera,more
ena,one
betala,pay
enkel,simple
höra,hear
sju,seven
liten,small
sej,tough
hård,hard
brukar,usually
minut,minute
nämligen,namely
er,your
låta,sound
musik,music
slå,beat
roll,role
hus,House
Johan,Johan
ungefär,approximately
gammal,old
månad,month
björn,bear
rum,room
tyckas,seem
igenom,through
heter,called
övrig,Other
väldigt,very
kväll,Evening
sådant,such
kommun,municipality
bra,Good
åtta,eight
bo,stay
Bengt,Bengt
tro,believe
börja,start
internationell,international
vore,were
främst,mainly
låta,sound
antal,Quantity
sida,page
vatten,water
åtminstone,at least
kunna,be able to
sätta,put
framtid,future
numera,nowadays
tro,believe
kvinna,woman
vecka,week
Thomas,Thomas
äldre,older
knappast,hardly
försöka,try
god,good
lägga,lay
å,Oh
inne,in
maj,May
vilja,will
sätta,put
rad,row
hög,high
fortsätta,continue
arbeta,work
DN,DN
bygga,build
hålla,keep
samhälle,Society
ex.,ex.
arbete,work
film,Film
vecka,week
betyda,mean
timme,hour
Nilsson,Nilsson
känna,feel
utveckling,development
sak,Thing
Mats,Food
lag,law
skapa,create
huvud,head
kräva,demand
fråga,question
ansvar,responsibility
leva,live
borta,away
dels,partly
kalla,call
tills,until
&,&
Stefan,Stephen
nära,close
bok,Book
antal,Quantity
skriva,write
år,year
ungdom,youth
tag,grab
dra,drag
kännas,feel
via,via
försöka,try
drog,drug
foto,photo
använda,use
hitta,find
spela,play
fortsätta,continue
klocka,clock
totalt,in total
svara,respond
extra,extra
samband,connection
tur,lucky
Tyskland,Germany
viss,certain
lämna,leave
stat,State
högt,high
höra,hear
öka,increase
leva,live
förstå,Understand
din,your
ensam,alone
behöva,need
köpa,buy
möjlighet,ability
historia,history
resultat,results
anställd,employee
värld,world
slå,beat
lär,learn
stark,strong
död,death
betydligt,considerably
visserligen,admittedly
alltför,too
samarbete,cooperation
lät,sounded
far,Father
Ulf,Ulf
chef,manager
politiker,Politician
hit,here
Lennart,Lennart
Erik,Erik
beror,depend
skäl,reason
ögon,eyes
öppna,Open
match,match
ställa,put
finnas,be
utbildning,training
ställa,put
någonting,anything
försök,attempt
område,area
lag,law
leda,lead
svar,response
hel,whole
bild,picture
intresse,interest
hävda,claim
arbeta,work
förslag,suggestions
Carlsson,Carlsson
klar,clear
lära,teach
person,person
jo,yes
slag,kind
vanlig,common
undan,away
elev,pupil
mars,March
verksamhet,Operation
vit,White
tidig,early
öka,increase
rör,pipe
såväl,as well
kommun,municipality
starkt,strong
information,information
Malmö,Malmö
därefter,then
spelare,player
skriva,write
enbart,solely
pengar,money
full,full
viktig,important
höra,hear
uppgift,task
nyligen,recently
vänta,wait
stad,City
företag,business
låt,song
uppgift,task
öka,increase
förälder,parent
Martin,Martin
svart,black
Frankrike,France
sker,happens
full,full
centrum,center
vänta,wait
vanlig,common
idag,today
utveckling,development
illa,badly
viktig,important
förstå,Understand
grupp,group
kosta,cost
dörren,the door
juni,June
Gunnar,Gunnar
hälften,half
resultat,results
åka,go
förr,before
läsa,read
fortsätta,continue
bil,car
mat,food
Magnus,Magnus
sommar,summer
ren,clean
övrig,Other
emellertid,However
poäng,point
strax,just
förklara,explain
närmast,closest
tack,thanks
Norge,Norway
nå,reach
börja,start
franska,French
människa,person
dra,drag
knapp,button
hand,hand
socialdemokrat,Social Democrat
anledning,reason
slå,beat
Svensson,Svensson
partiet,the party
vars,whose
varken,neither
politik,policy
land,country
exempelvis,for example
samtliga,every
ta,take
Anna,Anna
brev,mail
lärare,teacher
dags,time of day
sätta,put
film,Film
Larsson,Larsson
kräva,demand
Göteborg,Gothenburg
Finland,Finland
åter,re
följa,follow
betydelse,meaning
vd,CEO
tala,speak
slag,kind
tänka,think
allra,very
morgon,morning
område,area
lyckas,succeed
tyska,German
förbi,past
arbetslöshet,unemployment
hjälpa,help
stund,while
boken,the book
sitta,sit
spel,game
behov,needs
lägga,lay
samman,Together
president,President
råd,advice
september,September
falla,fall
regering,government
natt,night
vinna,win
ända,end
låg,low
Karin,Karin
mål,goal
program,program
räcka,hand
publik,audience
val,choice
månad,month
ingå,included
ung,young
senast,last
höst,autumn
Maria,Maria
förrän,before
nio,nine
del,part
räkna,count
kraft,force
nuvarande,current
högst,at most
bil,car
tanke,thought
medlem,member
januari,January
Ryssland,Russia
någon,any
marknad,market
välja,select
kalla,call
konstatera,ascertain
fungera,work
dålig,bad
Sven,Sven
liknande,similar
vända,turn
Eriksson,Eriksson
sen,late
Leif,Leif
resa,trip
stark,strong
projekt,project
ledare,leader
södra,southern
ständig,permanent
John,John
minnas,Remember
problem,problem
val,choice
ge,give
visa,show
svart,black
tanke,thought
ställning,position
europeisk,European
jämföra,compare
hända,happen
Karlsson,Karlsson
kväll,Evening
Lena,Lena
bild,picture
vare,item
sig,one
vän,Friend
dollar,dollar
social,social
december,december
ögon,eyes
klara,done
kritik,criticism
viktigast,most important
lämna,leave
riksdag,Parliament
tillräcklig,enough
chans,chance
följa,follow
titta,look
Paris,Paris
London,London
minska,reduce
svara,respond
allvar,seriousness
bidrag,contribution
norra,North
bygga,build
ligga,lie
offentlig,public
halv,half
kör,drive
februari,February
kontakt,Contact
Eva,Eve
förutom,except
lokal,local
krig,war
kvinna,woman
augusti,August
sällan,rarely
åtgärda,remedy
Olof,Olaf
stig,path
vatten,water
bok,Book
rädd,afraid
ton,tone
istället,instead
tal,speech
berätta,tell
speciell,special
seger,victory
röst,voice
universitet,university
sälja,sell
Olsson,Olsson
leda,lead
höra,hear
titta,look
lyckas,succeed
fjol,last year
kalla,call
röd,RED
verksamheten,the business
dej,dough
april,April
mesta,most
forskning,research
berätta,tell
lägga,lay
rädda,save
engelska,English
närmast,closest
skola,school
hundra,hundred
match,match
säker,sure
beslut,decision
iväg,away
tvinga,force
fort,fast
Fredrik,Frederick
ljus,light
avgörande,crucial
någonsin,ever
privat,private
huvud,head
taget,taken
ryska,Russian
Danmark,Denmark
resten,the rest
kommun,municipality
söker,searching
bestämt,Certainly
vm,etc
rätta,correct
mark,ground
gud,God
mor,mother
sak,Thing
professor,professor
teater,theater
ekonomi,economy
politiker,Politician
uppdrag,mission
fråga,question
Mikael,Mikael
sakna,miss
tidning,newspaper
jord,soil
lag,law
familj,family
snarare,rather
något,something
sist,last
England,England
elever,pupils
kyrka,Church
självklart,obvious
tolv,Twelve
tyst,silent
Birgitta,Birgitta
skull,sake
mitten,middle
område,area
använda,use
flytta,move
uppe,up
stad,City
november,November
risk,risk
skriva,write
besök,visit
projekt,project
värld,world
jobb,Job
förmodligen,probably
öka,increase
rum,room
företag,business
ansikte,face
gay,gay
nivå,level
glad,Happy
rolig,funny
annorlunda,different
söndag,Sunday
Ja,Yes
Nej,No
Bra,good
God,Good
Hej,Hello
Morgan,Morning
Natt,Night
Snalla,Please
Hej da,Goodbye
Snalla du,Please
Taget,Train
Bussen,Bus
Sparvagn,Tram
Tagstationen,Train station
Mitt hotell,My hotel
Polisstation,Police station
Toalett, Restrooms
Herrar,Men
Damer,Women
Oppen,Open
Stangd,Closed
Skal,Cheers
Jag forstar inte , I don’t understand
Tack , Thank you
Vad heter du? , What is your name?
Jag heter , My name is ...
Det ar bra , That’s fine
Ursakta , Excuse me
Varsagod , You’re welcome
Hur ar det? , How are you?
Trevligt att traffas , Pleased to meet you
Talar du svenska? , Do you speak Swedish?
Jag alskar dig , I love you
Goddag , Good day
God morgen , Good morning
God natt , Good night
Jag ar ledsen , I’m sorry
Pratar du engelska , Do you speak English?
Hur mycket kostar…? , How much is …?
Skulle jag kunna fa…? , May I please have…?
Var finns…? , Where is the …?
Lediga rum? , Rooms available?
Nar gar neste buss? , When is the next bus departure?
Nar oppnar de? , When do they open?
Nar stanger de? , When do they close?
Vad ar klockan? , What time is it?
Hur mycket kostar den , How much is it?
Det smakade utmarkt , It’s delicious
